[﻿༄༅༔ ཀུན་ཏུ་བཟང་པོའི་_40_],﻿༄༅༔ ཀུན་ཏུ་བཟང་པོའི་_40_,﻿༄༅༔ ༔_20_,﻿༄༅        ༔_20_,﻿༄༅༔ དཔལ་ཀུན་ཏུ་བཟང་པོའི་_20_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ལ_100_],ལ_100_,ལ_100_,ལ_100_,ལ_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[སྲིད་_100_],སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[འཇིག་_80_],འཇིག་_80_,འཇིག་_80_,འཇིག་_80_,འཇིགས་_20_
[ཀྱང་_100_],ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_
སྔངས་_40_,སྔངས་_40_,[དངངས་_60_],དངངས་_60_,དངངས་_60_
[སྐྲག་_100_],སྐྲག་_100_,སྐྲག་_100_,སྐྲག་_100_,སྐྲག་_100_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_
༔_40_,༔_40_,[༔སྣང་སེམས་གཉིས་སུ་མེད་པ་ལ།_60_],༔སྣང་སེམས་གཉིས་སུ་མེད་པ་ལ།_60_,༔སྣང་སེམས་གཉིས་སུ་མེད་པ་ལ།_60_
[འདོད་_100_],འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_
[ཡོན་_100_],ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_
[ལྔ་_100_],ལྔ་_100_,ལྔ་_100_,ལྔ་_100_,ལྔ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཆགས་_100_],ཆགས་_100_,ཆགས་_100_,ཆགས་_100_,ཆགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[རྟོག་_100_],རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བྱུང་_100_],བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_
[ལ_100_],ལ_100_,ལ_100_,ལ_100_,ལ_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[གདོས་_60_],གདོས་_60_,རྡོས་_40_,རྡོས་_40_,གདོས་_60_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[གཟུགས་_100_],གཟུགས་_100_,གཟུགས་_100_,གཟུགས་_100_,གཟུགས་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_
ཁ་དོག་_40_,ཁ་དོག་_40_,[དུག་ལྔ་_60_],དུག་ལྔ་_60_,དུག་ལྔ་_60_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[རིག་_100_],རིག་_100_,རིག་_100_,རིག་_100_,རིག་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_,གསལ་_100_
[ཆ་_100_],ཆ་_100_,ཆ་_100_,ཆ་_100_,ཆ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_
[འགགས་_100_],འགགས་_100_,འགགས་_100_,འགགས་_100_,འགགས་_100_
[པ_80_],པ_80_,པ_80_,པ_80_,པའི_20_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[ངོ་_100_],ངོ་_100_,ངོ་_100_,ངོ་_100_,ངོ་_100_
[བོ་_100_],བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཡེ་_100_],ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[ལྔ_100_],ལྔ_100_,ལྔ_100_,ལྔ_100_,ལྔ_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[ཡེ་_100_],ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[ལྔ་_100_],ལྔ་_100_,ལྔ་_100_,ལྔ་_100_,ལྔ་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[སྨིན་_100_],སྨིན་_100_,སྨིན་_100_,སྨིན་_100_,སྨིན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ལས_100_],ལས_100_,ལས_100_,ལས_100_,ལས_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[ཐོག་_100_],ཐོག་_100_,ཐོག་_100_,ཐོག་_100_,ཐོག་_100_
